Question,Réponse
Quel est le nom de l'interface de travail de Tinkercad ?,"Il s'agit du Plan de construction, une grille bleue où l'on dépose les objets ."
À quoi sert le Cube de Vue en haut à gauche ?,"Il permet de faire pivoter la caméra pour voir l'objet sous tous les angles comme la Face, le Dessus ou la Droite ."
Où trouve-t-on les formes de base comme les cubes ou les sphères ?,Elles se trouvent dans la Bibliothèque de Formes à droite de l'écran .
Comment modifie-t-on la largeur et la longueur d'une forme ?,On utilise les poignées représentées par des carrés noirs ou blancs sur les côtés .
Quelle poignée permet de modifier la hauteur d'un objet ?,C'est le carré blanc supérieur qui permet cette modification .
Quelle est l'utilité de la flèche noire (cône) au-dessus d'un objet ?,Elle sert à élever ou abaisser l'objet par rapport au plan de construction .
Comment effectuer une rotation sur les trois axes ?,Il faut utiliser les arcs de cercle fléchés qui apparaissent sur l'objet .
Qu'est-ce que la méthode additive dans Tinkercad ?,"C'est l'assemblage de deux formes pleines pour créer une forme complexe, comme un cube et un toit pour une maison."
En quoi consiste la méthode soustractive ?,On transforme une forme en 'Perçage' translucide pour retirer de la matière à une forme solide .
Quelles sont les trois étapes pour réussir un projet ?,"Les étapes sont Placer (choisir une forme), Ajuster (redimensionner) et Combiner (grouper) ."
Comment peut-on zoomer sur l'interface ?,On utilise la molette de la souris pour zoomer .
Quelle est la méthode pour pivoter la vue rapidement ?,Il faut maintenir le clic droit de la souris enfoncé .
Comment déplacer la vue sans pivoter (Pan) ?,On maintient le clic de la molette de la souris enfoncé .
Que permet de faire la touche D sur Tinkercad ?,Elle permet de poser instantanément un objet sur le plan de construction s'il flotte.
Pourquoi faut-il vérifier le contact avec le plateau avant l'impression ?,"Pour s'assurer que l'objet ne flotte pas dans l'air, ce qui ferait échouer l'impression ."
Quel conseil est donné pour la solidité des objets ?,Il faut éviter les zones trop fines qui risquent de casser lors ou après l'impression.
Pourquoi le chevauchement des formes est-il important ?,Il faut s'assurer que les formes s'imbriquent bien avant de les grouper pour une fusion propre .
Quel est l'objectif du défi de la Maisonnette ?,Apprendre à placer et aligner des formes de base .
Comment centrer parfaitement un toit sur un cube ?,On utilise l'outil Aligner (touche L) .
Comment crée-t-on les points d'un dé à jouer ?,On utilise de petites sphères transformées en 'Perçage' que l'on place sur les faces du cube .
Quel outil utilise-t-on pour ajouter un prénom sur un porte-clés ?,On utilise l'outil Texte disponible dans la bibliothèque .
Quelle forme utilise-t-on pour faire l'attache d'un porte-clés ?,On ajoute un petit Anneau (ou Tube) à une extrémité .
Comment crée-t-on le creux d'une tasse de café ?,On place un cylindre légèrement plus petit en mode 'Perçage' à l'intérieur d'un grand cylindre.
Quelle forme est utilisée pour faire l'anse d'une tasse ?,On utilise un Torus (anneau) à moitié enfoncé dans le côté du cylindre.
Que contient l'étape 2 d'un projet de conception ?,Elle contient le Cahier des Charges avec les contraintes de localisation et d'usage .
Quel matériau est généralement utilisé pour l'impression au collège ?,On utilise le plastique PLA .
Quelle est la dimension maximale recommandée pour un projet élève ?,"L'objet ne doit pas dépasser 10 cm en longueur, largeur ou hauteur ."
Quelle est l'origine du plastique PLA ?,C'est un plastique d'origine végétale .
Quels sont les critères de réussite d'un objet ?,"Il doit remplir sa fonction, respecter les dimensions, être solide et être original ."
Que signifie l'action 'Combiner' dans Tinkercad ?,Cela consiste à sélectionner plusieurs formes et à les grouper pour fusionner ou percer .
Qu'est-ce que la mission d'un objet ?,C'est la définition de qui a besoin de quoi et pour quelle raison .
Que vérifie-t-on avec la solidité dans le cahier des charges ?,On vérifie si l'objet est assez épais pour ne pas être trop fragile .
Quelle est la fonction du bouton 'Supprimer' ?,Il permet de retirer une forme sélectionnée du plan de travail .
Comment garantit-on qu'un cylindre creuse bien un autre ?,En transformant le cylindre intérieur en mode perçage avant de grouper.
Quelle unité de mesure est généralement utilisée pour les dimensions ?,Les dimensions sont exprimées en millimètres (mm).
